"CellID","Group","Cell","ExpLibSize","Matrix_Order","spatial_index","row","col","Checker_120_15","Mapped_Color"
"Type1_2235","Type1","Cell4517",49823.232439059,4517,4413,36,92,"Black","#35978f"
"Type2_2283","Type2","Cell4518",55083.9089977667,4518,4641,38,80,"White","#8c510a"
"Type1_2236","Type1","Cell4519",68267.8659632537,4519,4414,36,93,"Black","#35978f"
"Type2_2284","Type2","Cell4520",54702.3630811739,4520,4642,38,81,"White","#8c510a"
"Type2_2285","Type2","Cell4521",51923.5362427741,4521,4643,38,82,"White","#8c510a"
"Type1_2237","Type1","Cell4522",59731.2013641963,4522,4415,36,94,"Black","#35978f"
"Type2_2286","Type2","Cell4523",51197.6901612486,4523,4646,38,85,"White","#8c510a"
"Type2_2287","Type2","Cell4524",63716.9106099176,4524,4647,38,86,"White","#8c510a"
"Type2_2288","Type2","Cell4525",53741.8396175027,4525,4648,38,87,"White","#8c510a"
"Type2_2289","Type2","Cell4526",55569.1524742507,4526,4667,38,106,"White","#8c510a"
"Type2_2290","Type2","Cell4527",57246.6964684663,4527,4668,38,107,"White","#8c510a"
"Type2_2291","Type2","Cell4528",64686.0966846521,4528,4669,38,108,"White","#8c510a"
"Type2_2292","Type2","Cell4529",62456.9128160619,4529,4670,38,109,"White","#8c510a"
"Type1_2238","Type1","Cell4530",74397.1560905051,4530,4416,36,95,"Black","#35978f"
"Type2_2293","Type2","Cell4531",65227.1942344512,4531,4671,38,110,"White","#8c510a"
"Type2_2294","Type2","Cell4532",49891.8524766727,4532,4673,38,112,"White","#8c510a"
"Type2_2295","Type2","Cell4533",62517.5742938541,4533,4674,38,113,"White","#8c510a"
"Type1_2239","Type1","Cell4534",51010.8559477511,4534,4417,36,96,"Black","#35978f"
"Type2_2296","Type2","Cell4535",74997.8923431153,4535,4675,38,114,"White","#8c510a"
"Type1_2240","Type1","Cell4536",58163.7865749707,4536,4418,36,97,"Black","#35978f"
"Type1_2241","Type1","Cell4537",62332.2916453665,4537,4420,36,99,"Black","#35978f"
"Type1_2242","Type1","Cell4538",57916.3708463027,4538,4421,36,100,"Black","#35978f"
"Type1_2243","Type1","Cell4539",65200.292000032,4539,4422,36,101,"Black","#35978f"
"Type2_2297","Type2","Cell4540",52395.2111206864,4540,4676,38,115,"White","#8c510a"
"Type1_2244","Type1","Cell4541",59562.570053404,4541,4424,36,103,"Black","#35978f"
"Type2_2298","Type2","Cell4542",99130.0377762184,4542,4677,38,116,"White","#8c510a"
"Type2_2299","Type2","Cell4543",53076.2443160731,4543,4678,38,117,"White","#8c510a"
"Type2_2300","Type2","Cell4544",53724.4091703262,4544,4679,38,118,"White","#8c510a"
"Type2_2301","Type2","Cell4545",69256.8152557489,4545,4680,38,119,"White","#8c510a"
"Type1_2245","Type1","Cell4546",72958.3861951646,4546,4432,36,111,"White","#35978f"
"Type2_2302","Type2","Cell4547",53578.8307097918,4547,4682,39,1,"Black","#8c510a"
"Type2_2303","Type2","Cell4548",64482.7170725462,4548,4685,39,4,"Black","#8c510a"
"Type2_2304","Type2","Cell4549",83715.2016997421,4549,4687,39,6,"Black","#8c510a"
"Type1_2246","Type1","Cell4550",64889.9015563156,4550,4435,36,114,"White","#35978f"
"Type1_2247","Type1","Cell4551",77955.9226463873,4551,4441,37,0,"Black","#35978f"
"Type1_2248","Type1","Cell4552",53421.2597513703,4552,4442,37,1,"Black","#35978f"
"Type1_2249","Type1","Cell4553",78165.3976871845,4553,4443,37,2,"Black","#35978f"
"Type2_2305","Type2","Cell4554",50506.1241954056,4554,4690,39,9,"Black","#8c510a"
"Type2_2306","Type2","Cell4555",67732.1215595693,4555,4694,39,13,"Black","#8c510a"
"Type1_2250","Type1","Cell4556",41182.897702364,4556,4444,37,3,"Black","#35978f"
"Type2_2307","Type2","Cell4557",50125.043012781,4557,4696,39,15,"White","#8c510a"
"Type2_2308","Type2","Cell4558",57588.1529098615,4558,4697,39,16,"White","#8c510a"
"Type2_2309","Type2","Cell4559",56803.8454288009,4559,4698,39,17,"White","#8c510a"
"Type1_2251","Type1","Cell4560",63749.4841107332,4560,4445,37,4,"Black","#35978f"
"Type2_2310","Type2","Cell4561",64584.4560509712,4561,4699,39,18,"White","#8c510a"
"Type2_2311","Type2","Cell4562",76848.5914760662,4562,4700,39,19,"White","#8c510a"
"Type1_2252","Type1","Cell4563",68392.0692797865,4563,4446,37,5,"Black","#35978f"
"Type1_2253","Type1","Cell4564",43389.1425280654,4564,4447,37,6,"Black","#35978f"
"Type1_2254","Type1","Cell4565",62707.2073739406,4565,4449,37,8,"Black","#35978f"
"Type2_2312","Type2","Cell4566",45368.031006279,4566,4701,39,20,"White","#8c510a"
"Type1_2255","Type1","Cell4567",67446.1689107068,4567,4450,37,9,"Black","#35978f"
"Type2_2313","Type2","Cell4568",63391.9570006659,4568,4702,39,21,"White","#8c510a"
"Type2_2314","Type2","Cell4569",61861.035039545,4569,4704,39,23,"White","#8c510a"
"Type1_2256","Type1","Cell4570",75544.7828025781,4570,4451,37,10,"Black","#35978f"
"Type2_2315","Type2","Cell4571",59953.5952687477,4571,4705,39,24,"White","#8c510a"
"Type2_2316","Type2","Cell4572",51029.6498474875,4572,4707,39,26,"White","#8c510a"
"Type1_2257","Type1","Cell4573",94954.0696554049,4573,4452,37,11,"Black","#35978f"
"Type2_2317","Type2","Cell4574",51769.6036861862,4574,4709,39,28,"White","#8c510a"
"Type1_2258","Type1","Cell4575",62634.1772523474,4575,4453,37,12,"Black","#35978f"
"Type1_2259","Type1","Cell4576",85363.3805250502,4576,4454,37,13,"Black","#35978f"
"Type2_2318","Type2","Cell4577",60852.8043439675,4577,4710,39,29,"White","#8c510a"
"Type2_2319","Type2","Cell4578",73795.6531923387,4578,4727,39,46,"White","#8c510a"
"Type1_2260","Type1","Cell4579",57422.5583131078,4579,4455,37,14,"Black","#35978f"
"Type1_2261","Type1","Cell4580",58527.0016564504,4580,4457,37,16,"White","#35978f"
"Type2_2320","Type2","Cell4581",40613.0479789655,4581,4728,39,47,"White","#8c510a"
"Type1_2262","Type1","Cell4582",97186.9932028362,4582,4462,37,21,"White","#35978f"
"Type1_2263","Type1","Cell4583",58490.0065132628,4583,4463,37,22,"White","#35978f"
"Type1_2264","Type1","Cell4584",59933.8071037409,4584,4471,37,30,"Black","#35978f"
"Type1_2265","Type1","Cell4585",58634.7135091365,4585,4472,37,31,"Black","#35978f"
"Type2_2321","Type2","Cell4586",52761.5182867104,4586,4729,39,48,"White","#8c510a"
"Type1_2266","Type1","Cell4587",62800.7460449514,4587,4473,37,32,"Black","#35978f"
"Type1_2267","Type1","Cell4588",44115.528830571,4588,4475,37,34,"Black","#35978f"
"Type1_2268","Type1","Cell4589",63158.9804920799,4589,4476,37,35,"Black","#35978f"
"Type1_2269","Type1","Cell4590",68206.5876492144,4590,4477,37,36,"Black","#35978f"
"Type1_2270","Type1","Cell4591",59478.7601260096,4591,4478,37,37,"Black","#35978f"
"Type2_2322","Type2","Cell4592",49592.3293958486,4592,4731,39,50,"White","#8c510a"
"Type1_2271","Type1","Cell4593",58558.769539362,4593,4479,37,38,"Black","#35978f"
"Type1_2272","Type1","Cell4594",57660.1588919297,4594,4480,37,39,"Black","#35978f"
"Type1_2273","Type1","Cell4595",56871.8464284082,4595,4482,37,41,"Black","#35978f"
"Type1_2274","Type1","Cell4596",69901.4307032648,4596,4483,37,42,"Black","#35978f"
"Type2_2323","Type2","Cell4597",52677.1497809663,4597,4732,39,51,"White","#8c510a"
"Type2_2324","Type2","Cell4598",69085.8005618974,4598,4733,39,52,"White","#8c510a"
"Type2_2325","Type2","Cell4599",63719.6037226055,4599,4734,39,53,"White","#8c510a"
"Type1_2275","Type1","Cell4600",59315.1317640145,4600,4484,37,43,"Black","#35978f"
"Type2_2326","Type2","Cell4601",82708.1592667658,4601,4735,39,54,"White","#8c510a"
"Type1_2276","Type1","Cell4602",86616.820677381,4602,4485,37,44,"Black","#35978f"
"Type2_2327","Type2","Cell4603",44764.0685389228,4603,4737,39,56,"White","#8c510a"
"Type1_2277","Type1","Cell4604",68418.8750287542,4604,4494,37,53,"White","#35978f"
"Type2_2328","Type2","Cell4605",42356.3032449367,4605,4738,39,57,"White","#8c510a"
"Type1_2278","Type1","Cell4606",60424.7081534023,4606,4495,37,54,"White","#35978f"
"Type1_2279","Type1","Cell4607",51781.1517861694,4607,4500,37,59,"White","#35978f"
"Type1_2280","Type1","Cell4608",53628.4057965455,4608,4501,37,60,"Black","#35978f"
"Type2_2329","Type2","Cell4609",56363.3133850991,4609,4739,39,58,"White","#8c510a"
"Type1_2281","Type1","Cell4610",44969.4768259576,4610,4502,37,61,"Black","#35978f"
"Type2_2330","Type2","Cell4611",46111.4827985854,4611,4740,39,59,"White","#8c510a"
"Type2_2331","Type2","Cell4612",62762.5079835254,4612,4744,39,63,"Black","#8c510a"
"Type2_2332","Type2","Cell4613",68834.8979671978,4613,4751,39,70,"Black","#8c510a"
"Type2_2333","Type2","Cell4614",48893.4927216693,4614,4756,39,75,"White","#8c510a"
"Type2_2334","Type2","Cell4615",54914.3755088462,4615,4757,39,76,"White","#8c510a"
"Type1_2282","Type1","Cell4616",47664.7435377475,4616,4503,37,62,"Black","#35978f"
"Type1_2283","Type1","Cell4617",49104.343116148,4617,4504,37,63,"Black","#35978f"
"Type2_2335","Type2","Cell4618",77636.3389187914,4618,4758,39,77,"White","#8c510a"
"Type1_2284","Type1","Cell4619",50986.7586143002,4619,4505,37,64,"Black","#35978f"
"Type1_2285","Type1","Cell4620",64433.9412013506,4620,4506,37,65,"Black","#35978f"
"Type2_2336","Type2","Cell4621",61892.7390996471,4621,4759,39,78,"White","#8c510a"
"Type1_2286","Type1","Cell4622",95099.3534617288,4622,4507,37,66,"Black","#35978f"
"Type1_2287","Type1","Cell4623",55490.6362008742,4623,4508,37,67,"Black","#35978f"
"Type2_2337","Type2","Cell4624",56602.203987103,4624,4760,39,79,"White","#8c510a"
"Type1_2288","Type1","Cell4625",58889.9069633761,4625,4509,37,68,"Black","#35978f"
"Type1_2289","Type1","Cell4626",47301.9705517818,4626,4510,37,69,"Black","#35978f"
"Type2_2338","Type2","Cell4627",72913.7630998898,4627,4762,39,81,"White","#8c510a"
"Type2_2339","Type2","Cell4628",56624.7162687026,4628,4763,39,82,"White","#8c510a"
"Type2_2340","Type2","Cell4629",61014.0984861611,4629,4764,39,83,"White","#8c510a"
"Type1_2290","Type1","Cell4630",55367.4665372874,4630,4511,37,70,"Black","#35978f"
"Type1_2291","Type1","Cell4631",44683.9052885938,4631,4512,37,71,"Black","#35978f"
"Type1_2292","Type1","Cell4632",50671.148502057,4632,4513,37,72,"Black","#35978f"
"Type1_2293","Type1","Cell4633",76329.4619930181,4633,4514,37,73,"Black","#35978f"
"Type1_2294","Type1","Cell4634",45746.6992648969,4634,4528,37,87,"White","#35978f"
"Type1_2295","Type1","Cell4635",69519.4382504126,4635,4531,37,90,"Black","#35978f"
"Type2_2341","Type2","Cell4636",41974.1640673827,4636,4765,39,84,"White","#8c510a"
"Type1_2296","Type1","Cell4637",61762.1765323757,4637,4532,37,91,"Black","#35978f"
"Type2_2342","Type2","Cell4638",64974.9674081759,4638,4766,39,85,"White","#8c510a"
"Type1_2297","Type1","Cell4639",54199.0641602081,4639,4534,37,93,"Black","#35978f"
"Type2_2343","Type2","Cell4640",51920.6693276625,4640,4768,39,87,"White","#8c510a"
"Type1_2298","Type1","Cell4641",59662.8961166426,4641,4536,37,95,"Black","#35978f"
"Type2_2344","Type2","Cell4642",63717.9770890576,4642,4770,39,89,"White","#8c510a"
"Type2_2345","Type2","Cell4643",45837.6992373486,4643,4772,39,91,"Black","#8c510a"
"Type1_2299","Type1","Cell4644",53493.0326907539,4644,4537,37,96,"Black","#35978f"
"Type2_2346","Type2","Cell4645",78502.9283674522,4645,4784,39,103,"Black","#8c510a"
"Type2_2347","Type2","Cell4646",69267.1699812357,4646,4786,39,105,"White","#8c510a"
"Type2_2348","Type2","Cell4647",67551.3665523478,4647,4787,39,106,"White","#8c510a"
"Type1_2300","Type1","Cell4648",43966.3842138039,4648,4538,37,97,"Black","#35978f"
"Type2_2349","Type2","Cell4649",56823.828943909,4649,4788,39,107,"White","#8c510a"
"Type1_2301","Type1","Cell4650",49422.663589195,4650,4539,37,98,"Black","#35978f"
"Type2_2350","Type2","Cell4651",50271.5870986874,4651,4789,39,108,"White","#8c510a"
"Type1_2302","Type1","Cell4652",60687.9275216959,4652,4540,37,99,"Black","#35978f"
"Type2_2351","Type2","Cell4653",70612.5862571226,4653,4790,39,109,"White","#8c510a"
"Type1_2303","Type1","Cell4654",49671.3835769347,4654,4541,37,100,"Black","#35978f"
"Type2_2352","Type2","Cell4655",46425.324489156,4655,4791,39,110,"White","#8c510a"
"Type2_2353","Type2","Cell4656",69570.6004570471,4656,4792,39,111,"White","#8c510a"
"Type1_2304","Type1","Cell4657",67074.0917403177,4657,4542,37,101,"Black","#35978f"
"Type2_2354","Type2","Cell4658",67078.9155674761,4658,4793,39,112,"White","#8c510a"
"Type2_2355","Type2","Cell4659",74665.7317877256,4659,4794,39,113,"White","#8c510a"
"Type1_2305","Type1","Cell4660",51189.5074785459,4660,4543,37,102,"Black","#35978f"
"Type1_2306","Type1","Cell4661",64493.7749330662,4661,4544,37,103,"Black","#35978f"
"Type1_2307","Type1","Cell4662",49735.1471427735,4662,4545,37,104,"Black","#35978f"
"Type2_2356","Type2","Cell4663",67922.4200173118,4663,4795,39,114,"White","#8c510a"
"Type2_2357","Type2","Cell4664",57687.1999534692,4664,4797,39,116,"White","#8c510a"
"Type2_2358","Type2","Cell4665",58045.9166697736,4665,4798,39,117,"White","#8c510a"
"Type1_2308","Type1","Cell4666",73714.746635943,4666,4546,37,105,"White","#35978f"
"Type1_2309","Type1","Cell4667",52600.309346907,4667,4549,37,108,"White","#35978f"
"Type2_2359","Type2","Cell4668",50915.6847336294,4668,4800,39,119,"White","#8c510a"
"Type2_2360","Type2","Cell4669",70581.0914058605,4669,4803,40,2,"Black","#8c510a"
"Type2_2361","Type2","Cell4670",55119.8357013095,4670,4806,40,5,"Black","#8c510a"
"Type1_2310","Type1","Cell4671",65488.2776435136,4671,4559,37,118,"White","#35978f"
"Type2_2362","Type2","Cell4672",58343.3964241018,4672,4814,40,13,"Black","#8c510a"
"Type1_2311","Type1","Cell4673",49987.6353271598,4673,4560,37,119,"White","#35978f"
"Type2_2363","Type2","Cell4674",82329.2924072659,4674,4819,40,18,"White","#8c510a"
"Type1_2312","Type1","Cell4675",74631.8473437985,4675,4561,38,0,"Black","#35978f"
"Type2_2364","Type2","Cell4676",64418.0887501413,4676,4820,40,19,"White","#8c510a"
"Type2_2365","Type2","Cell4677",62780.0869135779,4677,4821,40,20,"White","#8c510a"
"Type1_2313","Type1","Cell4678",64551.6511574666,4678,4562,38,1,"Black","#35978f"
"Type2_2366","Type2","Cell4679",88750.2408344316,4679,4822,40,21,"White","#8c510a"
"Type1_2314","Type1","Cell4680",49041.2579217926,4680,4563,38,2,"Black","#35978f"
"Type1_2315","Type1","Cell4681",74000.8743235566,4681,4565,38,4,"Black","#35978f"
"Type1_2316","Type1","Cell4682",66419.2876395995,4682,4566,38,5,"Black","#35978f"
"Type2_2367","Type2","Cell4683",56814.5570440382,4683,4823,40,22,"White","#8c510a"
"Type1_2317","Type1","Cell4684",54046.4899433272,4684,4567,38,6,"Black","#35978f"
"Type2_2368","Type2","Cell4685",70466.6926784427,4685,4824,40,23,"White","#8c510a"
"Type1_2318","Type1","Cell4686",52509.2642446756,4686,4568,38,7,"Black","#35978f"
"Type2_2369","Type2","Cell4687",56020.0062350722,4687,4825,40,24,"White","#8c510a"
"Type2_2370","Type2","Cell4688",44674.2904790898,4688,4826,40,25,"White","#8c510a"
"Type2_2371","Type2","Cell4689",54608.5280595167,4689,4827,40,26,"White","#8c510a"
"Type2_2372","Type2","Cell4690",55973.056722929,4690,4828,40,27,"White","#8c510a"
"Type2_2373","Type2","Cell4691",55624.9484201175,4691,4829,40,28,"White","#8c510a"
"Type1_2319","Type1","Cell4692",49234.2510514463,4692,4569,38,8,"Black","#35978f"
"Type2_2374","Type2","Cell4693",76117.0662416647,4693,4830,40,29,"White","#8c510a"
"Type2_2375","Type2","Cell4694",58037.9826680795,4694,4839,40,38,"Black","#8c510a"
"Type2_2376","Type2","Cell4695",82088.4579066474,4695,4844,40,43,"Black","#8c510a"
"Type1_2320","Type1","Cell4696",90816.7693196815,4696,4570,38,9,"Black","#35978f"
"Type1_2321","Type1","Cell4697",62648.5233180862,4697,4572,38,11,"Black","#35978f"
"Type1_2322","Type1","Cell4698",76215.6044041104,4698,4573,38,12,"Black","#35978f"
"Type1_2323","Type1","Cell4699",60622.46907736,4699,4574,38,13,"Black","#35978f"
"Type2_2377","Type2","Cell4700",53087.8437278764,4700,4845,40,44,"Black","#8c510a"
"Type1_2324","Type1","Cell4701",50826.0102220065,4701,4577,38,16,"White","#35978f"
"Type2_2378","Type2","Cell4702",32543.4096997613,4702,4846,40,45,"White","#8c510a"
"Type2_2379","Type2","Cell4703",58528.6980339702,4703,4847,40,46,"White","#8c510a"
"Type1_2325","Type1","Cell4704",53266.33562677,4704,4584,38,23,"White","#35978f"
"Type2_2380","Type2","Cell4705",67957.922324744,4705,4848,40,47,"White","#8c510a"
"Type1_2326","Type1","Cell4706",65560.9432118455,4706,4589,38,28,"White","#35978f"
"Type2_2381","Type2","Cell4707",85428.8403267398,4707,4849,40,48,"White","#8c510a"
"Type2_2382","Type2","Cell4708",71852.9175460174,4708,4851,40,50,"White","#8c510a"
"Type2_2383","Type2","Cell4709",50454.3100680325,4709,4852,40,51,"White","#8c510a"
"Type1_2327","Type1","Cell4710",61614.9012315024,4710,4591,38,30,"Black","#35978f"
"Type1_2328","Type1","Cell4711",81343.5246358817,4711,4592,38,31,"Black","#35978f"
"Type2_2384","Type2","Cell4712",50498.1531322052,4712,4853,40,52,"White","#8c510a"
"Type1_2329","Type1","Cell4713",54121.8207835838,4713,4593,38,32,"Black","#35978f"
"Type1_2330","Type1","Cell4714",66211.929351477,4714,4594,38,33,"Black","#35978f"
"Type1_2331","Type1","Cell4715",46515.2851408588,4715,4595,38,34,"Black","#35978f"
"Type2_2385","Type2","Cell4716",52099.1547804632,4716,4855,40,54,"White","#8c510a"
"Type1_2332","Type1","Cell4717",52057.7373634087,4717,4596,38,35,"Black","#35978f"
"Type2_2386","Type2","Cell4718",78415.3919757066,4718,4856,40,55,"White","#8c510a"
"Type1_2333","Type1","Cell4719",65844.2069024745,4719,4597,38,36,"Black","#35978f"
"Type2_2387","Type2","Cell4720",43915.3001053713,4720,4857,40,56,"White","#8c510a"
"Type2_2388","Type2","Cell4721",62596.2844232108,4721,4858,40,57,"White","#8c510a"
"Type2_2389","Type2","Cell4722",91282.8324161226,4722,4859,40,58,"White","#8c510a"
"Type2_2390","Type2","Cell4723",68257.7555524665,4723,4860,40,59,"White","#8c510a"
"Type1_2334","Type1","Cell4724",52074.6507971585,4724,4598,38,37,"Black","#35978f"
"Type1_2335","Type1","Cell4725",62899.5100096389,4725,4599,38,38,"Black","#35978f"
"Type1_2336","Type1","Cell4726",67396.1035214369,4726,4601,38,40,"Black","#35978f"
"Type2_2391","Type2","Cell4727",54617.6102934693,4727,4861,40,60,"Black","#8c510a"
"Type1_2337","Type1","Cell4728",77586.9750574804,4728,4602,38,41,"Black","#35978f"
"Type2_2392","Type2","Cell4729",88507.6076326754,4729,4865,40,64,"Black","#8c510a"
"Type2_2393","Type2","Cell4730",68437.6701695168,4730,4866,40,65,"Black","#8c510a"
"Type2_2394","Type2","Cell4731",42204.889274995,4731,4871,40,70,"Black","#8c510a"
"Type1_2338","Type1","Cell4732",58083.8747474929,4732,4603,38,42,"Black","#35978f"
"Type1_2339","Type1","Cell4733",68279.2232780132,4733,4604,38,43,"Black","#35978f"
"Type2_2395","Type2","Cell4734",63181.0844872617,4734,4876,40,75,"White","#8c510a"
"Type1_2340","Type1","Cell4735",80376.4461163515,4735,4605,38,44,"Black","#35978f"
"Type2_2396","Type2","Cell4736",47416.6131199162,4736,4877,40,76,"White","#8c510a"
"Type2_2397","Type2","Cell4737",65672.1649882926,4737,4879,40,78,"White","#8c510a"
"Type2_2398","Type2","Cell4738",65742.6111822473,4738,4880,40,79,"White","#8c510a"
"Type2_2399","Type2","Cell4739",52093.7523239154,4739,4881,40,80,"White","#8c510a"
"Type1_2341","Type1","Cell4740",78158.1942064445,4740,4607,38,46,"White","#35978f"
"Type1_2342","Type1","Cell4741",86348.5496683957,4741,4608,38,47,"White","#35978f"
"Type1_2343","Type1","Cell4742",50245.5005955983,4742,4609,38,48,"White","#35978f"
"Type1_2344","Type1","Cell4743",62194.8481452609,4743,4613,38,52,"White","#35978f"
"Type1_2345","Type1","Cell4744",71847.4361182459,4744,4616,38,55,"White","#35978f"
"Type1_2346","Type1","Cell4745",76941.244496773,4745,4617,38,56,"White","#35978f"
"Type2_2400","Type2","Cell4746",66824.6379618493,4746,4882,40,81,"White","#8c510a"
"Type1_2347","Type1","Cell4747",78949.0757176749,4747,4621,38,60,"Black","#35978f"
"Type1_2348","Type1","Cell4748",71583.0741922723,4748,4622,38,61,"Black","#35978f"
"Type2_2401","Type2","Cell4749",57074.3609596635,4749,4883,40,82,"White","#8c510a"
"Type2_2402","Type2","Cell4750",39550.1049164138,4750,4884,40,83,"White","#8c510a"
"Type2_2403","Type2","Cell4751",63033.4130250245,4751,4885,40,84,"White","#8c510a"
"Type2_2404","Type2","Cell4752",62602.516617084,4752,4886,40,85,"White","#8c510a"
"Type1_2349","Type1","Cell4753",56458.7846845628,4753,4625,38,64,"Black","#35978f"
"Type1_2350","Type1","Cell4754",66008.7609320833,4754,4626,38,65,"Black","#35978f"
"Type2_2405","Type2","Cell4755",52228.4045462694,4755,4887,40,86,"White","#8c510a"
"Type1_2351","Type1","Cell4756",79213.5907465083,4756,4627,38,66,"Black","#35978f"
"Type2_2406","Type2","Cell4757",57113.2527630848,4757,4888,40,87,"White","#8c510a"
"Type1_2352","Type1","Cell4758",49617.6012937167,4758,4628,38,67,"Black","#35978f"
"Type1_2353","Type1","Cell4759",53615.1250888631,4759,4630,38,69,"Black","#35978f"
"Type2_2407","Type2","Cell4760",56621.4261197785,4760,4889,40,88,"White","#8c510a"
"Type1_2354","Type1","Cell4761",45980.2217747278,4761,4631,38,70,"Black","#35978f"
"Type1_2355","Type1","Cell4762",75330.5532494621,4762,4632,38,71,"Black","#35978f"
"Type1_2356","Type1","Cell4763",37133.1756016965,4763,4633,38,72,"Black","#35978f"
"Type2_2408","Type2","Cell4764",54421.4059099735,4764,4890,40,89,"White","#8c510a"
"Type2_2409","Type2","Cell4765",70293.1332131229,4765,4906,40,105,"White","#8c510a"
"Type2_2410","Type2","Cell4766",66534.8318176083,4766,4907,40,106,"White","#8c510a"
"Type1_2357","Type1","Cell4767",86669.1670410031,4767,4634,38,73,"Black","#35978f"
"Type1_2358","Type1","Cell4768",53004.2287564382,4768,4635,38,74,"Black","#35978f"
"Type1_2359","Type1","Cell4769",52553.8351806744,4769,4644,38,83,"White","#35978f"
"Type1_2360","Type1","Cell4770",71402.4165800392,4770,4645,38,84,"White","#35978f"
"Type2_2411","Type2","Cell4771",59850.1727997573,4771,4908,40,107,"White","#8c510a"
"Type1_2361","Type1","Cell4772",46904.3501204522,4772,4649,38,88,"White","#35978f"
"Type1_2362","Type1","Cell4773",53515.2631128197,4773,4650,38,89,"White","#35978f"
"Type2_2412","Type2","Cell4774",66263.8045101482,4774,4909,40,108,"White","#8c510a"
"Type1_2363","Type1","Cell4775",42810.9650077354,4775,4651,38,90,"Black","#35978f"
"Type1_2364","Type1","Cell4776",64065.6432862103,4776,4652,38,91,"Black","#35978f"
"Type1_2365","Type1","Cell4777",51788.715237992,4777,4653,38,92,"Black","#35978f"
"Type2_2413","Type2","Cell4778",72373.9572653553,4778,4911,40,110,"White","#8c510a"
"Type1_2366","Type1","Cell4779",58173.1797079713,4779,4654,38,93,"Black","#35978f"
"Type1_2367","Type1","Cell4780",77268.7775583873,4780,4655,38,94,"Black","#35978f"
"Type1_2368","Type1","Cell4781",59681.473545164,4781,4656,38,95,"Black","#35978f"
"Type2_2414","Type2","Cell4782",53182.7348945919,4782,4912,40,111,"White","#8c510a"
"Type1_2369","Type1","Cell4783",53360.1432747022,4783,4657,38,96,"Black","#35978f"
"Type1_2370","Type1","Cell4784",46548.7575098227,4784,4658,38,97,"Black","#35978f"
"Type1_2371","Type1","Cell4785",47826.5301929016,4785,4659,38,98,"Black","#35978f"
"Type1_2372","Type1","Cell4786",69403.9102594083,4786,4660,38,99,"Black","#35978f"
"Type2_2415","Type2","Cell4787",66726.863008859,4787,4913,40,112,"White","#8c510a"
"Type2_2416","Type2","Cell4788",61943.9019654403,4788,4914,40,113,"White","#8c510a"
"Type2_2417","Type2","Cell4789",65327.8156075801,4789,4915,40,114,"White","#8c510a"
"Type1_2373","Type1","Cell4790",75366.2875905894,4790,4661,38,100,"Black","#35978f"
"Type1_2374","Type1","Cell4791",62729.2501949079,4791,4662,38,101,"Black","#35978f"
"Type2_2418","Type2","Cell4792",73434.8652757531,4792,4916,40,115,"White","#8c510a"
"Type1_2375","Type1","Cell4793",77906.3457107291,4793,4663,38,102,"Black","#35978f"
"Type1_2376","Type1","Cell4794",51441.4203965403,4794,4664,38,103,"Black","#35978f"
"Type1_2377","Type1","Cell4795",78328.0185162713,4795,4665,38,104,"Black","#35978f"
"Type1_2378","Type1","Cell4796",54509.3771285418,4796,4666,38,105,"White","#35978f"
"Type1_2379","Type1","Cell4797",62128.534466048,4797,4672,38,111,"White","#35978f"
"Type2_2419","Type2","Cell4798",48075.668221541,4798,4917,40,116,"White","#8c510a"
"Type1_2380","Type1","Cell4799",60907.3619717835,4799,4681,39,0,"Black","#35978f"
"Type2_2420","Type2","Cell4800",66294.6859316142,4800,4919,40,118,"White","#8c510a"
"Type2_2421","Type2","Cell4801",48663.1100681141,4801,4928,41,7,"Black","#8c510a"
"Type1_2381","Type1","Cell4802",65197.3208671429,4802,4683,39,2,"Black","#35978f"
"Type1_2382","Type1","Cell4803",63409.9566193887,4803,4684,39,3,"Black","#35978f"
"Type2_2422","Type2","Cell4804",47028.1395865065,4804,4934,41,13,"Black","#8c510a"
"Type1_2383","Type1","Cell4805",52002.0193392401,4805,4686,39,5,"Black","#35978f"
"Type2_2423","Type2","Cell4806",63306.6936054637,4806,4936,41,15,"White","#8c510a"
"Type1_2384","Type1","Cell4807",75900.6881542697,4807,4688,39,7,"Black","#35978f"
"Type1_2385","Type1","Cell4808",73264.1332869681,4808,4689,39,8,"Black","#35978f"
"Type2_2424","Type2","Cell4809",57961.7745216833,4809,4938,41,17,"White","#8c510a"
"Type1_2386","Type1","Cell4810",54525.5051832626,4810,4691,39,10,"Black","#35978f"
"Type2_2425","Type2","Cell4811",48096.3135777066,4811,4939,41,18,"White","#8c510a"
"Type1_2387","Type1","Cell4812",78198.5758899818,4812,4692,39,11,"Black","#35978f"
"Type2_2426","Type2","Cell4813",47427.079486642,4813,4940,41,19,"White","#8c510a"
"Type2_2427","Type2","Cell4814",72167.6466293536,4814,4941,41,20,"White","#8c510a"
"Type2_2428","Type2","Cell4815",57193.2377106463,4815,4942,41,21,"White","#8c510a"
"Type1_2388","Type1","Cell4816",59295.6394001142,4816,4693,39,12,"Black","#35978f"
"Type2_2429","Type2","Cell4817",69425.9228919991,4817,4943,41,22,"White","#8c510a"
"Type2_2430","Type2","Cell4818",59567.118253628,4818,4944,41,23,"White","#8c510a"
"Type2_2431","Type2","Cell4819",70266.9326837851,4819,4945,41,24,"White","#8c510a"
"Type1_2389","Type1","Cell4820",67806.6624667211,4820,4695,39,14,"Black","#35978f"
